"subtitle.id","token","n.excl","n.interr","n.neg","n.afirm"
113,"pensar",0,0,1,0
113,"dar",0,0,1,0
113,"ventaja",0,0,1,0
114,"acabar",0,0,0,0
114,"operacion",0,0,0,0
114,"vida",0,0,0,0
114,"futuro",0,0,0,0
114,"humanidad",0,0,0,0
115,"no",0,0,2,0
115,"ir",0,0,2,0
115,"dejar",0,0,2,0
115,"mate",0,0,2,0
115,"sin",0,0,2,0
115,"mas",0,0,2,0
116,"ataquer",1,0,0,0
117,"aun",1,0,1,0
117,"no",1,0,1,0
117,"conocer",1,0,1,0
117,"lanza",1,0,1,0
118,"connie",0,0,0,0
118,"sasha",0,0,0,0
118,"distraerer",0,0,0,0
119,"mikasa",1,0,0,0
119,"disparar",1,0,0,0
119,"mientras",1,0,0,0
120,"recibido",1,0,0,0
121,"ir",1,0,0,0
121,"arrancar",1,0,0,0
121,"ojo",1,0,0,0
121,"idiota",1,0,0,0
122,"tonto",1,0,0,0
123,"bicho",1,0,0,0
123,"raro",1,0,0,0
124,"ser",0,0,0,1
124,"provocacion",0,0,0,1
124,"simple",0,0,0,1
125,"lanza",0,0,0,0
125,"relampacer",0,0,0,0
125,"dar",0,0,0,0
126,"chicos",1,0,0,0
127,"no",0,0,0,0
127,"funcionar",0,0,0,0
128,"vapor",0,0,0,0
128,"repele",0,0,0,0
128,"lanza",0,0,0,0
128,"relampacer",0,0,0,0
129,"connie",1,0,0,0
130,"inhale",0,0,0,0
130,"quemer",0,0,0,0
130,"garganta",0,0,0,0
131,"mikasa",1,0,0,0
131,"sangrar",1,0,0,0
132,"bien",0,0,0,0
132,"solo",0,0,0,0
132,"rozar",0,0,0,0
132,"pedazo",0,0,0,0
132,"lanza",0,0,0,0
133,"ocurrir",0,1,0,0
134,"poder",0,1,0,0
134,"contraatacar",0,1,0,0
134,"alguno",0,1,0,0
134,"modo",0,1,0,0
135,"no",0,0,0,0
136,"informacion",0,0,0,0
136,"publico",0,0,0,0
136,"actualmente",0,0,0,0
137,"vapor",0,0,0,0
137,"caliente",0,0,0,0
137,"titan",0,0,0,0
137,"colosal",0,0,0,0
137,"creer",0,0,0,0
137,"generar",0,0,0,0
137,"quemar",0,0,0,0
137,"tejido",0,0,0,0
137,"muscular",0,0,0,0
137,"ser",0,0,0,0
137,"limitado",0,0,0,0
138,"titan",0,0,0,0
138,"bestia",0,0,0,0
138,"apuntar",0,0,0,0
138,"hacia",0,0,0,0
138,"aqui",0,0,0,0
139,"no",0,0,0,0
139,"tardar",0,0,0,0
139,"llenar",0,0,0,0
139,"agujero",0,0,0,0
140,"no",0,0,1,0
140,"quedar",0,0,1,0
140,"forma",0,0,1,0
140,"contraatacar",0,0,1,0
141,"preparer",0,0,0,0
141,"huida",0,0,0,0
142,"ver",0,0,0,0
142,"despertar",0,0,0,0
142,"eren",0,0,0,0
143,"subeter",0,0,0,0
143,"cuanto",0,0,0,0
143,"mas",0,0,0,0
143,"huir",0,0,0,0
144,"sobrevivo",0,0,0,0
144,"alguien",0,0,0,0
145,"huir",0,0,0,0
145,"caballo",0,0,0,0
146,"cargo",1,0,0,0
147,"callate",2,0,1,0
147,"no",2,0,1,0
147,"servir",2,0,1,0
148,"diz",0,1,0,0
149,"mas",0,0,0,0
149,"fuerte",0,0,0,0
149,"legion",0,0,0,0
149,"morir",0,0,0,0
149,"instante",0,0,0,0
150,"saber",1,0,0,0
151,"aunque",0,0,0,0
151,"protejar",0,0,0,0
151,"caballo",0,0,0,0
152,"no",1,0,1,0
152,"quedar",1,0,1,0
152,"nadie",1,0,1,0
152,"volver",1,0,1,0
152,"casa",1,0,1,0
153,"entender",0,0,0,0
153,"logica",0,0,0,0
154,"quedabar",0,0,0,0
154,"muralla",0,0,0,0
154,"dia",0,0,0,0
154,"titan",0,0,0,0
154,"aniquilar",0,0,0,0
155,"alguien",0,0,0,0
155,"tener",0,0,0,0
155,"actuar",0,0,0,0
155,"aunque",0,0,0,0
155,"ser",0,0,0,0
155,"peligroso",0,0,0,0
156,"hacer",0,0,1,0
156,"falto",0,0,1,0
156,"gente",0,0,1,0
156,"capaz",0,0,1,0
156,"sacrificar",0,0,1,0
156,"no",0,0,1,0
156,"sacrificar",0,0,1,0
157,"ser",0,1,0,0
157,"valeroso",0,1,0,0
157,"soldado",0,1,0,0
158,"preguntar",0,0,0,0
159,"pensar",0,0,0,0
159,"ser",0,0,0,0
160,"no",0,0,1,0
160,"esperar",0,0,1,0
160,"muerte",0,0,1,0
161,"no",0,0,1,0
161,"ser",0,0,1,0
161,"tener",0,0,1,0
161,"sentido",0,0,1,0
161,"alguno",0,0,1,0
162,"comparacion",0,0,1,0
162,"haber",0,0,1,0
162,"mas",0,0,1,0
162,"gente",0,0,1,0
162,"morir",0,0,1,0
162,"vano",0,0,1,0
162,"no",0,0,1,0
163,"pensar",0,1,0,0
163,"ir",0,1,0,0
163,"ser",0,1,0,0
163,"diferente",0,1,0,0
164,"hacer",0,0,0,0
164,"recluta",0,0,0,0
164,"escuadron",0,0,0,0
164,"hange",0,0,0,0
164,"restante",0,0,0,0
165,"dispersar",0,1,0,0
165,"caballo",0,1,0,0
166,"eren",0,0,0,0
166,"salir",0,0,0,0
166,"correr",0,0,0,0
166,"mientras",0,0,0,0
166,"distraer",0,0,0,0
167,"haras",0,1,0,0
167,"levi",0,1,0,0
168,"enfrentar",0,0,0,0
168,"titan",0,0,0,0
168,"bestia",0,0,0,0
168,"atrai",0,0,0,0
169,"imposible",0,0,1,0
169,"no",0,0,1,0
169,"poder",0,0,1,0
169,"ni",0,0,1,0
169,"acercar",0,0,1,0
170,"imagino",0,0,0,0
171,"eren",0,0,0,0
171,"regresar",0,0,0,0
171,"vida",0,0,0,0
171,"aun",0,0,0,0
171,"haber",0,0,0,0
171,"esperanza",0,0,0,0
172,"no",0,1,0,0
172,"cre",0,1,0,0
172,"llegar",0,1,0,0
172,"punto",0,1,0,0
173,"ser",0,0,0,0
173,"gran",0,0,0,0
173,"derrota",0,0,0,0
174,"ser",0,0,1,0
174,"sincero",0,0,1,0
174,"creer",0,0,1,0
174,"no",0,0,1,0
174,"sobrevivir",0,0,1,0
174,"nadie",0,0,1,0
175,"no",0,0,1,0
175,"haber",0,0,1,0
175,"ninguno",0,0,1,0
175,"forma",0,0,1,0
175,"contraatacar",0,0,1,0
176,"haber",0,1,0,0
178,"no",0,1,1,0
178,"dijistir",0,1,1,0
179,"callastir",0,1,0,0
179,"cara",0,1,0,0
179,"asco",0,1,0,0
180,"salir",0,0,0,0
180,"bien",0,0,0,0
181,"ser",0,0,0,0
181,"posible",0,0,0,0
181,"poder",0,0,0,0
181,"matar",0,0,0,0
181,"titan",0,0,0,0
181,"bestia",0,0,0,0
182,"sacrificar",0,0,0,0
182,"vida",0,0,0,0
182,"recluta",0,0,0,0
183,"tener",0,0,0,0
183,"razon",0,0,0,0
184,"modo",0,0,0,0
184,"mayoria",0,0,0,0
184,"morir",0,0,0,0
184,"aqui",0,0,0,0
185,"ser",0,0,0,1
185,"mas",0,0,0,1
185,"probable",0,0,0,1
185,"murar",0,0,0,1
186,"deber",0,0,0,0
186,"apostar",0,0,0,0
186,"victoria",0,0,0,0
186,"modo",0,0,0,0
186,"ser",0,0,0,0
186,"necesario",0,0,0,0
187,"tendr",0,0,0,0
187,"pedir",0,0,0,0
187,"joven",0,0,0,0
187,"morir",0,0,0,0
188,"tendr",0,0,0,0
188,"inventar",0,0,0,0
188,"buen",0,0,0,0
188,"excusa",0,0,0,0
188,"estafador",0,0,0,0
189,"no",0,0,1,0
189,"ir",0,0,1,0
189,"cabeza",0,0,1,0
189,"nadie",0,0,1,0
189,"seguir",0,0,1,0
190,"primero",0,0,0,0
190,"morir",0,0,0,0
191,"sin",0,0,0,0
191,"saber",0,0,0,0
191,"haber",0,0,0,0
191,"sotano",0,0,0,0
192,"querer",0,0,0,0
192,"ir",0,0,0,0
192,"sotano",0,0,0,0
193,"lleguer",0,0,0,0
193,"aqui",0,0,0,0
193,"pensar",0,0,0,0
193,"llegar",0,0,0,0
193,"dia",0,0,0,0
194,"dia",0,0,0,0
194,"poder",0,0,0,0
194,"comprobar",0,0,0,0
194,"respuesta",0,0,0,0
195,"vez",0,0,0,0
195,"pensar",0,0,0,0
195,"ser",0,0,0,0
195,"mejor",0,0,0,0
195,"morir",0,0,0,0
196,"sueno",0,0,0,0
196,"padre",0,0,0,0
196,"venir",0,0,0,0
196,"mente",0,0,0,0
197,"ahora",0,0,0,0
197,"respuesta",0,0,0,0
197,"alcance",0,0,0,0
197,"mano",0,0,0,0
198,"justo",0,0,0,0
198,"ahi",0,0,0,0
199,"levi",0,0,0,0
200,"poder",0,1,0,0
200,"ver",0,1,0,0
200,"companero",0,1,0,0
201,"observar",0,0,0,0
202,"querer",0,0,0,0
202,"saber",0,0,0,0
202,"pasar",0,0,0,0
202,"corazon",0,0,0,0
202,"entregar-",0,0,0,0
203,"batalla",0,0,1,0
203,"aun",0,0,1,0
203,"no",0,0,1,0
203,"terminar",0,0,1,0
204,"quizas",0,0,0,0
204,"ser",0,0,0,0
204,"ilusion",0,0,0,0
204,"infantil",0,0,0,0
204,"cabeza",0,0,0,0
205,"peleastir",0,0,0,0
205,"valor",0,0,0,0
206,"gracia",0,0,0,0
206,"llegar",0,0,0,0
206,"aqui",0,0,0,0
207,"saber",0,0,0,0
207,"elijo",0,0,0,0
208,"abandonar",0,0,0,0
208,"sueno",0,0,0,0
208,"morir",0,0,0,0
209,"guir",0,0,0,0
209,"recluta",0,0,0,0
209,"infierno",0,0,0,0
210,"matar",0,0,0,0
210,"titan",0,0,0,0
210,"bestia",0,0,0,0
211,"carga",1,0,0,0
212,"imagine",0,0,2,0
212,"no",0,0,2,0
212,"rendir",0,0,2,0
212,"sin",0,0,2,0
212,"pelear",0,0,2,0
213,"carga",0,1,0,0
213,"directo",0,1,0,0
214,"esperar",0,0,0,0
214,"ocurrir",0,0,0,0
214,"mejor",0,0,0,0
215,"ahora",2,0,0,0
215,"disparen",2,0,0,0
216,"humo",0,1,0,0
217,"ser",0,0,0,0
217,"enver",0,0,0,0
217,"senal",0,0,0,0
218,"ahi",2,0,0,0
218,"ir",2,0,0,0
218,"muevanse",2,0,0,0
219,"describir",0,0,0,0
219,"ultimo",0,0,0,0
219,"estrategia",0,0,0,0
220,"fila",1,0,0,0
221,"cargarer",0,0,0,0
221,"titan",0,0,0,0
221,"bestia",0,0,0,0
221,"caballo",0,0,0,0
222,"naturalmente",0,0,0,0
222,"ser",0,0,0,0
222,"diano",0,0,0,0
222,"perfecto",0,0,0,0
223,"dispararer",0,0,0,0
223,"bengala",0,0,0,0
223,"humo",0,0,0,0
223,"ir",0,0,0,0
223,"lanzar",0,0,0,0
223,"piedra",0,0,0,0
224,"disminuir",0,0,0,0
224,"precision",0,0,0,0
224,"cuanto",0,0,0,0
224,"podar",0,0,0,0
225,"mientras",0,0,0,0
225,"llamar",0,0,0,0
225,"atencion",0,0,0,0
225,"levi",0,0,0,0
225,"matar",0,0,0,0
225,"titan",0,0,0,0
225,"bestia",0,0,0,0
226,"ser",0,0,0,0
226,"plan",0,0,0,0
228,"acercar",0,1,0,0
228,"equipo",0,1,0,0
228,"maniobra",0,1,0,0
229,"campo",0,0,0,0
229,"abierto",0,0,0,0
230,"no",0,0,1,0
230,"haber",0,0,1,0
230,"arbol",0,0,1,0
230,"casa",0,0,1,0
230,"ni",0,0,1,0
230,"usar",0,0,1,0
231,"no",0,0,0,0
232,"haber",0,0,0,0
232,"mastil",0,0,0,0
232,"altura",0,0,0,0
232,"perfecto",0,0,0,0
232,"alineado",0,0,0,0
233,"mueveter",0,0,0,0
233,"titan",0,0,0,0
233,"atacar",0,0,0,0
233,"titan",0,0,0,0
233,"bestia",0,0,0,0
233,"sorpresa",0,0,0,0
234,"sentir",0,0,0,0
235,"quedar",0,0,0,0
235,"aqui",0,0,0,0
235,"ser",0,0,0,0
235,"pasto",0,0,0,0
235,"piedra",0,0,0,0
236,"preparense",0,0,0,0
236,"inmediato",0,0,0,0
237,"ir",0,1,0,0
237,"morir",0,1,0,0
239,"ir",0,1,0,0
239,"morir",0,1,0,0
239,"forma",0,1,0,0
239,"pedir",0,1,0,0
239,"hacer",0,1,0,0
239,"pelear",0,1,0,0
241,"ir",0,0,1,0
241,"morir",0,0,1,0
241,"no",0,0,1,0
241,"importar",0,0,1,0
242,"aunque",0,0,0,0
242,"desobedezcar",0,0,0,0
242,"dar",0,0,0,0
242,"igual",0,0,0,0
243,"efectivamente",0,0,0,0
244,"no",0,0,0,0
244,"tener",0,0,0,0
244,"ninguno",0,0,0,0
244,"sentido",0,0,0,0
245,"sueno",0,0,0,0
245,"esperanza",0,0,0,0
246,"vivo",0,0,0,0
246,"vida",0,0,0,0
246,"feliz",0,0,0,0
247,"hacer",0,0,0,0
247,"pedazo",0,0,0,0
247,"piedra",0,0,0,0
248,"morir",0,0,0,0
249,"entonces",0,1,1,0
249,"vida",0,1,1,0
249,"no",0,1,1,0
249,"tener",0,1,1,0
249,"sentido",0,1,1,0
250,"nacer",0,1,1,0
250,"no",0,1,1,0
250,"tener",0,1,1,0
250,"sentido",0,1,1,0
251,"companero",0,1,1,0
251,"caido",0,1,1,0
251,"tampoco",0,1,1,0
252,"soldado",0,1,1,0
252,"no",0,1,1,0
252,"servir",0,1,1,0
253,"no",1,0,0,0
253,"ser",1,0,0,0
253,"asi",1,0,0,0
254,"ser",1,0,0,0
254,"dar",1,0,0,0
254,"sentido",1,0,0,0
255,"solo",0,0,0,0
255,"vivo",0,0,0,0
256,"poder",1,0,0,0
256,"pensar",1,0,0,0
256,"perecer",1,0,0,0
257,"morir",1,0,0,0
257,"aqui",1,0,0,0
257,"entregarer",1,0,0,0
257,"sentido",1,0,0,0
257,"vivo",1,0,0,0
258,"ser",1,0,0,0
258,"unico",1,0,0,0
258,"forma",1,0,0,0
258,"resistir",1,0,0,0
258,"cruel",1,0,0,0
258,"mundo",1,0,0,0
259,"avancen",1,0,0,0
259,"soldado",1,0,0,0
260,"griten",1,0,0,0
260,"soldado",1,0,0,0
261,"peleen",1,0,0,0
261,"soldado",1,0,0,0
262,"continuar",0,0,0,0
263,"avance",0,0,0,0
264,"amigo",0,0,0,0
264,"entregar",0,0,0,0
264,"corazon",0,0,0,0
265,"abandonar",0,0,0,0
265,"sueno",0,0,0,0
266,"correer",0,0,0,0
266,"ardar",0,0,0,0
267,"sumido",0,0,0,0
267,"miedo",0,0,0,0
267,"confusion",0,0,0,0
268,"proximo",0,0,0,0
268,"episodio",0,0,0,0
268,"heroe",0,0,0,0
269,"heroe",0,0,0,0
