"n","start","end","subtitle"
186,950.857,956.017,"Debemos apostar por la victoria del modo que sea necesario."
187,957.707,961.617,"Para eso tendré que pedirles a esos jóvenes que mueran."
188,962.057,966.037,"Tendré que inventar una buena excusa, como un estafador."
189,966.857,970.967,"Si no voy en cabeza, nadie me seguirá."
190,971.527,973.707,"Seré el primero en morir."
191,974.327,978.837,"Sin saber qué hay en el sótano."
192,988.437,992.217,"Quiero ir a ese sótano."
193,993.417,998.657,"Llegué hasta aquí pensando en que llegaría este día."
194,999.877,1003.567,"En que un día podría comprobar la respuesta."
195,1005.077,1009.107,"Muchas veces pensé que sería mejor morir."
196,1009.677,1014.407,"Pero el sueño de mi padre y el mío me venía a la mente."
197,1015.057,1020.237,"Ahora la respuesta está al alcance de mi mano."
198,1023.167,1025.257,"Está justo ahí."
199,1028.587,1030.107,"Pero, Levi,"
200,1031.927,1034.877,"puedes ver a nuestros compañeros?"
201,1038.787,1041.147,"Ellos nos observan."
202,1041.667,1045.027,"Quieren saber qué pasó con los corazones que entregaron."
203,1045.837,1048.367,"Porque la batalla aún no terminó."
204,1055.567,1060.997,"Quizás todo sea una ilusión infantil en mi cabeza."
205,1066.967,1069.167,"Peleaste con valor."
206,1069.907,1073.257,"Gracias a ti llegamos hasta aquí."
207,1075.237,1076.987,"Pero sé lo que elijo."
208,1079.107,1081.737,"Abandona tu sueño y muere."
209,1081.737,1084.187,"Guía a los reclutas al infierno."
210,1085.107,1088.217,"Yo mataré al titán bestia."
211,1110.177,1111.757,"A la carga!"
212,1116.837,1121.387,"Imaginé que no se rendirían sin pelear,"
213,1121.937,1123.687,"pero una carga directa?"
214,1124.127,1127.527,"Esperaba que se les ocurriera algo mejor."
215,1128.187,1130.697,"Ahora! Disparen!"
216,1134.707,1135.967,"Humo?"
217,1136.617,1140.247,"Es con el que envían las señales."
218,1140.817,1142.627,"Ahí va! Muévanse!"
219,1146.787,1149.377,"Les describiré nuestra última estrategia."
220,1149.377,1151.077,"En fila!"
221,1153.257,1158.427,"Cargaremos contra el titán bestia a caballo."
222,1158.427,1161.687,"Naturalmente, seremos una diana perfecta."
223,1162.547,1167.177,"Dispararemos bengalas de humo cuando vaya a lanzar una piedra"
224,1167.497,1170.447,"para disminuir su precisión cuanto podamos."
225,1170.877,1175.797,"Mientras nosotros llamamos su atención, Levi matará al titán bestia."
226,1176.117,1177.827,"Ese es el plan."
227,1178.527,1179.447,"Qué?"
228,1180.107,1183.247,"Que yo me acerque con el equipo de maniobras?"
229,1183.657,1185.757,"Está en campo abierto."
230,1185.757,1188.217,"No hay árboles, casas ni nada que usar."
231,1188.657,1189.627,"No."
232,1191.147,1195.017,"Hay unos mástiles de la altura perfecta alineados hasta él."
233,1196.657,1201.747,"Muévete por los titanes y ataca al titán bestia por sorpresa."
234,1209.147,1210.657,"Lo siento."
235,1218.387,1222.607,"Quedándonos aquí seremos pasto de esas piedras."
236,1222.607,1224.457,"Prepárense de inmediato."
237,1225.767,1230.547,"Vamos a morir?"
238,1231.567,1232.717,"Sí."
239,1233.347,1239.467,"Si vamos a morir de todas formas, nos pide que lo hagamos peleando?"
240,1240.257,1241.267,"Sí."
241,1241.717,1246.717,"Si vamos a morir, no importa cómo."
242,1246.717,1250.727,"Aunque lo desobedezcamos, dará igual."
243,1251.217,1252.687,"Efectivamente."
244,1254.347,1256.247,"No tiene ningún sentido."
245,1256.247,1258.767,"Ya tengas sueños y esperanzas…"
246,1259.967,1262.777,"Ya vivas una vida feliz…"
247,1263.767,1266.237,"O ya te haga pedazos una piedra."
248,1266.927,1268.587,"Todos morimos."
249,1269.927,1272.507,"Entonces, la vida no tiene sentido?"
250,1273.307,1276.707,"Nacer no tuvo sentido?"
251,1277.867,1280.207,"Nuestros compañeros caídos tampoco?"
252,1280.657,1284.367,"Esos soldados no sirvieron de nada?"
253,1285.927,1287.557,"No es así!"
254,1287.557,1290.567,"Somos nosotros los que le damos sentido!"
255,1291.077,1294.067,"Solo los vivos"
256,1294.457,1298.317,"podemos pensar en los que perecieron!"
257,1298.817,1303.307,"Moriremos aquí y le entregaremos nuestro sentido a los vivos!"
258,1304.057,1309.577,"Esa es la única forma de resistirse en este cruel mundo!"
259,1310.127,1311.837,"Avancen, soldados!"
260,1312.367,1314.337,"Griten, soldados!"
261,1314.727,1317.377,"Peleen, soldados!"
262,1326.977,1329.977,"Continuará"
263,1419.987,1422.487,"Avance"
264,1420.347,1422.487,"Por los amigos que entregaron su corazón."
265,1423.047,1425.237,"Por los que abandonaron su sueño."
266,1425.727,1429.587,"Correrán por ellos hasta que arda todo."
267,1430.107,1432.287,"Sumidos en el miedo y la confusión."
268,1432.747,1435.237,"Próximo episodio: Héroe."
269,1432.747,1436.667,"Héroe"
