"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
89," ¿Verdad? ",0,1,0,0,0,0,0,0,0,0,0,0.95,0,1,516.507,517.747,1
90," Ya lo sé. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.767,520.457,0
91," Pero tenemos que probar lo que podamos. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.057,524.157,0
92," ¡Revelaremos su punto débil! ",1,0,0,0,0,0,0,0,0,0.9,0,0,1.1,0,524.157,526.517,1
93," Yo me encargo. Ustedes distráiganlo. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.517,529.427,0
94," Connie, las lanzas relámpago. ",0,0,0,0,0,1,1,0,1,0,0,0,1,0,529.877,531.737,1
96," Armin, tú obsérvalo desde la distancia. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.837,536.877,0
97," Deja de llorar. ",0,0,0,0,0,0,0,0,0,1,0,0,1,0,537.417,539.157,1
98," Confía en que encontrarás alguna pista. ",0,0,0,0,0,0,1,0,0,0,0,1,0,0,539.157,541.897,2
99," ¡Ahora! ¡Dispérsense! ",2,0,0,0,0.1,0.14,0.08,0.06,0.06,0.08,0.2,0.06,0.14,0.08,544.947,546.737,0
100,"  No me mires con tanto desprecio.  ",0,0,0,0,0,1,1,1,1,0,0,0,2,0,549.527,551.977,2
101,"  ¡Tu único poder es ser enorme!  ",1,0,0,0,0,1.15,0,1.1,0,0,1.3,0,1.1,1.15,551.977,557.027,2
102," ¡Lo está empujando! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,573.817,575.227,0
103," ¡Vamos, Eren! ¡Túmbalo! ",2,0,0,0,0.1,0.14,0.08,0.06,0.06,0.08,0.2,0.06,0.14,0.08,575.227,577.977,0
104,"  Tiene que haber alguna forma.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.557,580.937,1
105,"  ¿Eh?  ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,584.787,585.707,0
106," ¡Eren! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,596.237,597.677,0
107," ¿Ese es Eren? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,601.747,604.917,0
108," ¿Lo envió volando
hasta lo alto de la muralla? ",0,1,0,0,0,0,1.15,0,0,0,0,0,0,0,605.457,609.967,1
109," Eren no se mueve. ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0,613.527,614.957,1
110," No está muerto. Céntrate
en el monstruo que tienes delante. ",0,0,0,0,0,0,1,0,2,1,0,0,3,0,614.957,618.597,3
111," Nos acercamos demasiado. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.237,621.937,0
112," Eso es lo que pasa
si no tenemos un plan. ",0,0,1,0,0,0,1.9,0,0,0,0,0,1.1,0,621.937,624.857,2
113," Si no pensamos en algo
que nos dé la ventaja, ",0,0,1,0,0.95,0,1.9,0,0.95,0,0.95,0,1.1,0.95,625.707,629.777,2
114," se acabaron la operación, nuestras vidas
y el futuro de la humanidad. ",0,0,0,0,1,0,0,0,1,0,0,2,0,1,630.187,635.827,2
115," Pero no vamos a dejar
que nos mates a todos sin más. ",0,0,2,0,0,0,0.9025,0,0,0,0,0,1.21,0,636.637,641.247,1
116," ¡Ataquemos! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,641.617,643.537,0
117," ¡Aún no conoce las lanzas! ",1,0,1,0,0,1.0925,2.09,0,1.045,0,0,0,2.42,0,647.677,649.807,2
118," Connie, Sasha y yo lo distraeremos. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,649.807,652.487,0
119," ¡Mikasa disparará mientras tanto! ",1,0,0,0,0,1.15,0,0,1.1,0,0,0,1.1,0,652.487,654.607,1
120," ¡Recibido! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,654.607,655.467,0
121," ¡Te voy a arrancar los ojos, idiota! ",1,0,0,0,0,1.15,0,1.1,0,0,0,0,1.1,0,657.057,660.157,1
122," ¡Tonto! ",1,0,0,0,1.15,0,0,0,0,0,0,0,1.1,0,660.157,662.017,1
123," ¡Bicho raro! ",1,0,0,0,0,0,0,1.1,0,0,0,0,0,0,662.017,664.187,1
124,"  Es una provocación muy simple.  ",0,0,0,1,0,1.1,0,0,0,0,0,0,1,0,665.477,667.777,1
125,"  Pero si las lanzas relámpago le dan…  ",0,0,0,0,0,1,1,0,1,0,0,0,1,0,668.127,670.737,1
126," ¡Chicos! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,691.547,692.857,0
127," No funciona. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,693.787,695.407,1
128," Ese vapor repele las lanzas relámpago. ",0,0,0,0,0,1,1,0,1,0,0,0,1,0,695.407,698.467,1
129," ¡Connie! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,700.477,701.427,0
130," Inhalé un poco y me quemé la garganta. ",0,0,0,0,0,0,0,1,0,0,0,0,1,0,701.427,704.347,1
131," ¡Mikasa! Estás sangrando. ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,705.417,707.607,1
132," Estoy bien, solo me rozó
un pedazo de las lanzas. ",0,0,0,0,0,1,1,0,1,0,0,0,1,0,707.607,711.447,1
133," ¿Se te ocurrió algo? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,711.447,712.987,0
134," ¿Podemos contraatacar de algún modo? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,714.927,717.507,0
135," No. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,721.547,722.877,1
136,"  Información pública actualmente  ",0,0,0,0,0,0,1,0,0,0,0,0,0,2,739.967,744.977,2
137,"   Vapor caliente del titán colosal
Se cree que lo genera
al quemar tejido muscular
y, por tanto, es limitado.   ",0,0,0,0,0,2,0,0,0,1,0,0,1,2,739.967,744.977,4
138," El titán bestia
está apuntando hacia aquí. ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,758.857,761.627,1
139," No tardará en llenar esto de agujeros. ",0,0,0,0,0,0,1,0,0,0,0,1,1,0,761.627,763.907,2
140," Si no nos queda forma de contraatacar, ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0.95,764.947,769.717,2
141," preparemos la huida. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.717,771.657,0
142," Ve a despertar a Eren. ",0,0,0,0,0,0,1,0,0,0,0,0,0,1,772.277,774.377,1
143," Súbete a él
con unos cuantos más y huyan. ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,774.687,777.427,1
144," Que sobreviva alguien. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.077,780.427,0
145," Huyeron unos caballos. ",0,0,0,0,0,0,0,0,1,1,0,1,1,0,781.857,783.927,2
146," ¡Tú estabas al cargo! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,784.367,785.937,0
147," ¡Cállate! ¡Ya no sirven de nada! ",2,0,1,0,0,0,1.1495,0,0,0,0,0,1.331,1.256375,785.937,788.307,2
148," ¿Cómo dices? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,788.307,789.517,0
149," Los más fuertes de la Legión
murieron en un instante. ",0,0,0,0,0,0,0,1,1,1,0,1,1,0,790.107,793.967,2
150," ¡Tú también lo sabes! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,794.417,796.497,0
151," Aunque protejamos a los caballos, ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,796.807,799.147,1
152," ¡no quedará nadie
que vuelva a casa en ellos! ",1,0,1,0,0,0,1.045,0,0,0,0,0,1.21,0,799.527,802.787,1
153," Entendía la lógica. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.787,810.147,0
154," Si nos quedábamos en las murallas,
un día los titanes nos aniquilarían. ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,810.707,816.737,1
155," Alguien tenía que actuar,
aunque fuera peligroso. ",0,0,0,0,0,0,1,0,1,1,0,0,1,0,817.257,820.437,1
156," Hace falta gente capaz de sacrificarse
para no sacrificar a otros. ",0,0,1,0,0,0,0.95,0,0,0.95,0,0,2.2,0,821.037,827.097,2
157," ""¿Quiénes serán
esos valerosos soldados?"". ",0,1,0,0,0,0.9,0,0,0,0.9,0,0,0,1,827.447,830.117,1
158," Cuando preguntaron eso… ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.117,832.357,0
159," pensé que yo era uno. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.677,836.857,0
160," Pero no esperaba que mi muerte ",0,0,1,0,0.95,0.95,2.85,0.95,0.95,0.95,1.9,0.95,2.2,0.95,837.727,842.297,3
161," no fuera a tener sentido alguno. ",0,0,1,0,0.95,0,0.95,0,0,0.95,0,0.95,1.1,0.95,842.997,847.077,2
162," En comparación, hay mucha más gente
que muere en vano que no. ",0,0,1,0,0,0,0.95,0,0.95,0.95,0,0,2.2,0,847.877,853.507,2
163," ¿Por qué pensé
que yo iba a ser diferente? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,854.217,859.947,0
164," ¿Y si hacemos que los reclutas
y los del escuadrón de Hange restantes ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,865.347,869.307,0
165," se dispersaran en caballo? ",0,1,0,0,0,0,0,0,0,0,0,0.95,0,0,869.657,871.347,1
166," Eren saldrá corriendo
mientras los distraen. ",0,0,0,0,0,0,2,0,1,1,0,0,2,1,871.667,875.727,3
167," ¿Qué harás tú, Levi? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,876.507,879.357,0
168," Enfrentarme al titán bestia.
Si lo atrai… ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,879.927,883.117,1
169," Imposible. No podrás ni acercarte. ",0,0,1,0,0,0,0.95,0,0,0.95,0,0,2.2,0,883.347,886.617,2
170," Me lo imagino. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.187,888.437,0
171," Pero si Eren y tú regresan con vida,
aún habrá esperanza. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.967,893.627,0
172," ¿No crees que llegamos a ese punto? ",0,1,0,0,0,0,2.3,0,0,0,0,0,1,0,894.107,897.417,2
173," Es una gran derrota. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,898.457,899.857,1
174," Si te soy sincero,
creo que no sobrevivirá nadie. ",0,0,1,0,0.95,0,1.9,0,0,0,0.95,0.95,1.1,1.9,900.617,906.127,3
175," Sí. Si no hubiera
ninguna forma de contraatacar. ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0.95,907.077,910.907,2
